FIPS,County,State,Median Home Value,% of National Median,Price Category
37125,"Moore County","North Carolina",315300,183.0,Expensive
51079,"Greene County","Virginia",315300,183.0,Expensive
36111,"Ulster County","New York",315100,182.9,Expensive
12061,"Indian River County","Florida",314700,182.6,Expensive
37019,"Brunswick County","North Carolina",314700,182.6,Expensive
38015,"Burleigh County","North Dakota",314700,182.6,Expensive
13139,"Hall County","Georgia",313600,182.0,Expensive
30061,"Mineral County","Montana",313600,182.0,Expensive
13157,"Jackson County","Georgia",312700,181.5,Expensive
04021,"Pinal County","Arizona",312100,181.1,Expensive
13281,"Towns County","Georgia",311900,181.0,Expensive
24015,"Cecil County","Maryland",311800,181.0,Expensive
09160,"Northwest Hills Planning Region","Connecticut",311700,180.9,Expensive
46081,"Lawrence County","South Dakota",310800,180.4,Expensive
16075,"Payette County","Idaho",310700,180.3,Expensive
06029,"Kern County","California",310600,180.3,Expensive
48053,"Burnet County","Texas",310500,180.2,Expensive
36021,"Columbia County","New York",309800,179.8,Expensive
55093,"Pierce County","Wisconsin",308600,179.1,Expensive
08083,"Montezuma County","Colorado",308100,178.8,Expensive
42027,"Centre County","Pennsylvania",308100,178.8,Expensive
53065,"Stevens County","Washington",308000,178.8,Expensive
53051,"Pend Oreille County","Washington",307800,178.6,Expensive
51103,"Lancaster County","Virginia",307600,178.5,Expensive
47119,"Maury County","Tennessee",307500,178.5,Expensive
24029,"Kent County","Maryland",307100,178.2,Expensive
39159,"Union County","Ohio",306600,177.9,Expensive
48139,"Ellis County","Texas",306400,177.8,Expensive
23015,"Lincoln County","Maine",306200,177.7,Expensive
12111,"St. Lucie County","Florida",305800,177.5,Expensive
55029,"Door County","Wisconsin",305800,177.5,Expensive
06031,"Kings County","California",305700,177.4,Expensive
17031,"Cook County","Illinois",305200,177.1,Expensive
39055,"Geauga County","Ohio",305100,177.1,Expensive
27123,"Ramsey County","Minnesota",304900,177.0,Expensive
27109,"Olmsted County","Minnesota",304500,176.7,Expensive
